BR;UF;CODIGO;LOCAL_INI;LOCAL_FIM;KM_INI;KM_FIM;EXTENSAO;SUPERFICIE;TR_COINCID;EST_COND;SUPERFICIE_ESTADUAL;ANO
101;ES;101AES1005;ENTR BR-101/ES-010 (CARAPINA/AEROP.VITORIA);ACS NORTE A VITÓRIA;0;2.9;2.9;DUP;;;;2017
101;ES;101AES2005;ENTR BR-262(A) (COMPLEXO RODOVIÁRIO);ENTR BR-262(B)/ES-471;0;0.7;0.7;DUP;;;;2017
101;ES;101AES2005;ENTR BR-262(A) (COMPLEXO RODOVIÁRIO);ENTR BR-262(B)/ES-471;0;0.7;0.7;DUP;;;;2017
101;AL;101BAL0590;DIV PE/AL;ENTR AL-201 (P/CAMPESTRE);0;1;1;DUP;;;;2017
101;AL;101BAL0600;ENTR AL-201 (P/CAMPESTRE);ENTR BR-416(A)/AL-110 (P/COLÔNIA LEOPOLDINA);1;2.6;1.6;DUP;;;;2017
101;AL;101BAL0610;ENTR BR-416(A)/AL-110 (P/COLÔNIA LEOPOLDINA);ENTR AL-480 (P/JUNDIÁ);2.6;5.3;2.7;DUP;;;;2017
101;AL;101BAL0615;ENTR AL-480 (P/JUNDIÁ);ENTR TRAVESSIA URBANA (NOVO LINO);5.3;8.1;2.8;DUP;;;;2017
101;AL;101BAL0617;ENTR TRAVESSIA URBANA (NOVO LINO);ENTR FIM TRAVESSIA URBANA (NOVO LINO);8.1;10.3;2.2;DUP;;;;2017
101;AL;101BAL0620;ENTR FIM TRAVESSIA URBANA (NOVO LINO);INÍCIO DA ÁREA INDÍGENA (FIM DA DUPLICAÇÃO);10.3;20.6;10.3;DUP;;;;2017
101;AL;101BAL0870;ENTR AL-110 (P/ARAPIRACA);ENTR AL-225(A);200.2;226.7;26.5;DUP;;;;2017
101;AL;101BAL0890;ENTR AL-225(A);ENTR AL-225(B) (P/PORTO REAL DO COLÉGIO);226.7;244.8;18.1;DUP;;;;2017
101;ES;101BES2300;ACESSO À SERRA;ENTR ES-010(A) (P/LARANJEIRAS);256.1;268.9;12.8;DUP;;;;2017
