BR;UF;CODIGO;LOCAL_INI;LOCAL_FIM;KM_INI;KM_FIM;EXTENSAO;SUPERFICIE;TR_COINCID;EST_COND;SUPERFICIE_ESTADUAL;ANO
101;RN;101BRN0070;ENTR RN-160(B) (P/EXTREMOZ);ENTR BR-406(A) (P/CEARÁ MIRIM);75.9;81.4;5.5;DUP;;;;2014
101;RN;101BRN0075;ENTR BR-406(A) (P/CEARÁ MIRIM);ENTR RN-160 (P/SÃO GONÇALO DO AMARANTE);81.4;83.7;2.3;DUP;;;;2014
101;RN;101BRN0080;ENTR RN-160 (P/SÃO GONÇALO DO AMARANTE);ACESSO REDINHA (P/ PONTE NEWTON NAVARRO);83.7;85.4;1.7;DUP;;;;2014
101;RN;101BRN0085;ACESSO REDINHA (P/ PONTE NEWTON NAVARRO);ENTR BR-406(B) (PONTE PRESIDENTE COSTA E SILVA);85.4;86.1;0.7;DUP;;;;2014
101;RN;101BRN0090;ENTR BR-406(B) (PONTE PRESIDENTE COSTA E SILVA);ENTR BR-226 (VIADUTO DA URBANA);86.1;87.9;1.8;DUP;;;;2014
101;RN;101BRN0100;ENTR BR-226 (VIADUTO DA URBANA);ENTR BR-304(A) (COMPLEXO VIÁRIO DO 4º CENTENÁRIO/NATAL) *TRECHO URBANO*;87.9;93.4;5.5;DUP;;;;2014
101;RN;101BRN0110;ENTR BR-304(A) (COMPLEXO VIÁRIO DO 4º CENTENÁRIO/NATAL);ENTR RN-063 (P/PONTA NEGRA) *TRECHO URBANO*;93.4;95.9;2.5;DUP;;;;2014
101;RN;101BRN0130;ENTR RN-063 (P/PONTA NEGRA);ENTR BR-304(B) (COMPLEXO VIÁRIO TRAMPOLIM DA VITÓRIA);95.9;103.8;7.9;DUP;;;;2014
101;RN;101BRN0132;ENTR BR-304(B) (COMPLEXO VIÁRIO TRAMPOLIM DA VITÓRIA);ENTR RN-313 (P/PIUM);103.8;109.1;5.3;DUP;;;;2014
101;RN;101BRN0150;ENTR RN-313 (P/PIUM);ENTR RN-316 (P/MONTE ALEGRE);109.1;116.0;6.9;DUP;;;;2014
101;RN;101BRN0165;ENTR RN-316 (P/MONTE ALEGRE);ACESSO À LAGOA DO BONFIM;116.0;118.2;2.2;DUP;;;;2014
101;RN;101BRN0167;ACESSO À LAGOA DO BONFIM;ENTR RN-315/002(A) (SÃO JOSÉ DE MIPIBÚ/NÍSIA FLORESTA);118.2;125.3;7.1;DUP;;;;2014
101;RN;101BRN0170;ENTR RN-315/002(A) (SÃO JOSÉ DE MIPIBÚ/NÍSIA FLORESTA);ENTR RN-002(B)/317 (P/SENADOR GEORGINO AVELINO/BREJINHO);125.3;129.5;4.2;DUP;;;;2014
101;RN;101BRN0180;ENTR RN-002(B)/317 (P/SENADOR GEORGINO AVELINO/BREJINHO);ENTR RN-061 (P/ARES);129.5;141.5;12.0;DUP;;;;2014
101;RN;101BRN0190;ENTR RN-061 (P/ARES);ENTR RN-003 (GOIANINHA - P/ PRAIA DE PIPA);141.5;147.5;6.0;DUP;;;;2014
101;RN;101BRN0210;ENTR RN-003 (GOIANINHA - P/ PRAIA DE PIPA);ENTR RN-269 (P/GANGUARETAMA / P/PEDRO VELHO);147.5;163.3;15.8;DUP;;;;2014
101;RN;101BRN0230;ENTR RN-269 (P/GANGUARETAMA / P/PEDRO VELHO);ENTR RN-062 (P/BAIA FORMOSA);163.3;168.7;5.4;DUP;;;;2014
101;RN;101BRN0240;ENTR RN-062 (P/BAIA FORMOSA);DIV RN/PB;168.7;176.7;8.0;DUP;;;;2014
101;PB;101BPB0250;DIV RN/PB;ENTR PB-065;0.0;6.1;6.1;DUP;;;;2014
101;PB;101BPB0255;ENTR PB-065;ENTR PB-071;6.1;29.9;23.8;DUP;;;;2014
101;PB;101BPB0260;ENTR PB-071;ENTR PB-041 (MAMANGUAPE);29.9;40.0;10.1;DUP;;;;2014
101;PB;101BPB0270;ENTR PB-041 (MAMANGUAPE);ENTR PB-025;40.0;73.5;33.5;DUP;;;;2014
101;PB;101BPB0280;ENTR PB-025;ENTR PB-004 (P/BAYEUX);73.5;80.5;7.0;DUP;;;;2014
101;PB;101BPB0290;ENTR PB-004 (P/BAYEUX);ENTR BR-230(A);80.5;80.8;0.3;DUP;;;;2014
101;PB;101BPB0310;ENTR BR-230(A);ACESSO AEROPORTO;80.8;82.6;1.8;DUP;;;;2014
101;PB;101BPB0320;ACESSO AEROPORTO;ENTR BR-230(B);82.6;88.4;5.8;DUP;;;;2014
101;PB;101BPB0330;ENTR BR-230(B);DISTRITO INDUSTRIAL (TOALIA);88.4;92.4;4.0;DUP;;;;2014
101;PB;101BPB0332;DISTRITO INDUSTRIAL (TOALIA);ENTR PB-018 (P/CONDE);92.4;99.4;7.0;DUP;;;;2014
101;PB;101BPB0335;ENTR PB-018 (P/CONDE);ENTR PB-034;99.4;110.2;10.8;DUP;;;;2014
101;PB;101BPB0340;ENTR PB-034;ENTR PB-044;110.2;127.3;17.1;DUP;;;;2014
101;PB;101BPB0345;ENTR PB-044;DIV PB/PE;127.3;127.7;0.4;DUP;;;;2014
101;PE;101BPE0350;DIV PB/PE;ENTR PE-062 (GOIANA);0.0;7.7;7.7;DUP;;;;2014
101;PE;101BPE0355;ENTR PE-062 (GOIANA);ENTR PE-049 (P/PONTAS DE PEDRAS);7.7;21.0;13.3;DUP;;;;2014
101;PE;101BPE0360;ENTR PE-049 (P/PONTAS DE PEDRAS);ENTR PE-041 (P/ARAÇOIABA);21.0;33.8;12.8;DUP;;;;2014
101;PE;101BPE0370;ENTR PE-041 (P/ARAÇOIABA);ENTR PE-035 (IGARASSÚ - PONTE SOBRE O RIO IGARASSÚ);33.8;41.4;7.6;DUP;;;;2014
101;PE;101BPE0390;ENTR PE-035 (IGARASSÚ - PONTE SOBRE O RIO IGARASSÚ);ENTR PE-015 (P/PAULISTA - VIADUTO SOBRE PE-015);41.4;51.6;10.2;DUP;;;;2014
