BR;UF;CODIGO;LOCAL_INI;LOCAL_FIM;KM_INI;KM_FIM;EXTENSAO;SUPERFICIE;TR_COINCID;EST_COND;SUPERFICIE_ESTADUAL;ANO
101;RN;101BRN0070;ENTR RN-160(B) (P/EXTREMOZ);ENTR BR-406(A);75.6;81.1;5.5;DUP;;;;2007
101;RN;101BRN0075;ENTR BR-406(A);ENTR RN-160 (P/SÇO GON€ALO DO AMARANTE);81.1;83.4;2.3;DUP;406BRN0150;;;2007
101;RN;101BRN0080;ENTR RN-160 (P/SÇO GON€ALO DO AMARANTE);ACESSO REDINHA;83.4;85.1;1.7;DUP;406BRN0160;;;2007
101;RN;101BRN0085;ACESSO REDINHA;ENTR BR-406(B) (PONTE PRESIDENTE COSTA E SILVA);85.1;85.8;0.7;DUP;406BRN0170;;;2007
101;RN;101BRN0090;ENTR BR-406(B) (PONTE PRESIDENTE COSTA E SILVA);ENTR BR-226 (NATAL);85.8;88.3;2.5;DUP;;;;2007
101;RN;101BRN0100;ENTR BR-226 (NATAL);ENTR BR-304(A) (NATAL) *TRECHO URBANO*;88.3;94.1;5.8;DUP;;;;2007
101;RN;101BRN0110;ENTR BR-304(A) (NATAL);ENTR RN-063 (P/PONTA NEGRA);94.1;96.4;2.3;DUP;304BRN0410;;;2007
101;RN;101BRN0130;ENTR RN-063 (P/PONTA NEGRA);ENTR BR-304(B);96.4;104.6;8.2;DUP;304BRN0390;;;2007
101;RN;101BRN0132;ENTR BR-304(B);ACESSO PARNAMIRIM;104.6;106.8;2.2;DUP;;;;2007
101;RN;101BRN0150;ACESSO PARNAMIRIM;FIM PISTA DUPLA;106.8;108.8;2;DUP;;;;2007
101;PB;101BPB0310;ENTR BR-230(A);ACESSO AEROPORTO;81.5;83.4;1.9;DUP;230BPB0060;;;2007
101;PB;101BPB0320;ACESSO AEROPORTO;ENTR BR-230(B);83.4;89;5.6;DUP;230BPB0050;;;2007
101;PB;101BPB0330;ENTR BR-230(B);DISTRITO INDUSTRIAL (TOALIA);89;93.3;4.3;DUP;;;;2007
101;PE;101BPE0390;ENTR PE-035 (IGARASSé);ENTR PE-015 (P/PAULISTA);41.4;51.6;10.2;DUP;;;;2007
101;PE;101BPE0410;ENTR PE-015 (P/PAULISTA);VIADUTO SOBRE AVENIDA CAXANGµ;51.6;66.6;15;DUP;;;;2007
101;PE;101BPE0420;VIADUTO SOBRE AVENIDA CAXANGµ;ENTR BR-232 (RECIFE);66.6;69.9;3.3;DUP;;;;2007
101;PE;101BPE0430;ENTR BR-232 (RECIFE);ENTR PE-007 (RECIFE);69.9;72.9;3;DUP;;;;2007
